#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
OV|VPVF|10.2045|-84.229698|2431.0|VPVF, von Frantzius|2014-03-25T00:00:00.0000|
OV|VRBA|10.8664|-85.326|732.0|Volcan Rincon de la Vieja, Sensoria,Buenos Aires,|2018-10-01T00:00:00.0000|
OV|VRLE|10.7883|-85.365196|921.0|La Escondida, Volcán Rincón de la Vieja, Guanaca|2014-05-23T00:00:00.0000|
OV|VTCE|10.0246|-83.756798|3178.0|CRATER ESTE, Volcan Turrialba|2010-04-01T00:00:00.0000|
OV|VTCG|10.0147|-83.758598|3136.0|CASA GUARDA, Volcan Turrialba|2014-08-04T00:00:00.0000|
OV|VTCV|9.9831|-83.7267|1664.0|VTCV, Calle Vargas, Turrialba|2014-01-11T00:00:00.0000|
OV|VTLA|10.0027|-83.7752|2724.0|VTLA, Volcan Turrialba|2014-11-02T00:00:00.0000|
OV|VTLO|9.7666|-83.863602|1665.0|Rio Macho|2016-06-02T00:00:00.0000|
OV|VTRE|10.0018|-83.794502|2706.0|Volcan Turrialba, Hacienda Retiro|2012-06-01T00:00:00.0000|
OV|VTRT|10.002|-83.792702|2709.0|Volcan Turrialba, VTRT|2015-04-23T00:00:00.0000|
OV|VTUC|10.024|-83.762001|3191.0|CRATER, Volcan Turrialba, Cartago|1984-04-01T00:00:00.0000|
OV|VTUN|10.0226|-83.7635|3239.0|CRATER CENTRAL, Volcan Turrialba, Cartago|2010-01-01T00:00:00.0000|
TC|ALCO|8.94981|-82.83365|1504.0|Las Alturas|2018-08-14T13:09:40.0000|2020-10-26T23:59:59.0000
TC|ALCO|8.94981|-82.83365|1504.0|Las Alturas|2020-10-27T00:00:00.0000|2021-03-04T23:59:59.0000
TC|CEU1|9.62128|-82.94004|618.0|Cerro Uatsi|2020-01-16T01:00:00.0000|2020-02-27T00:00:00.0000
TC|CEU1|9.621282|-82.94004|618.0|Cerro Uatsi|2020-02-27T00:00:00.0000|
TC|CEUA|9.62128|-82.94004|618.0|Cerro Uatsi|2018-11-29T17:05:10.0000|2020-02-28T00:00:00.0000
TC|DRK0|9.2624|-83.2454|1434.0|Durika|2010-08-28T00:00:00.0000|
TC|EGUA|10.212277|-83.589685|46.0|Earth Guacimo|2014-01-01T00:00:00.0000|
TC|ELI1|10.645|-85.5528|82.0|Earth Liberia|2016-04-12T00:00:00.0000|
TC|FIMO|8.98983|-83.35362|1108.0|Fila Mora|2018-10-24T21:40:20.0000|2020-09-23T23:59:59.0000
TC|FIMO|8.98983|-83.35362|1108.0|Fila Mora|2020-09-24T00:00:00.0000|2021-03-24T23:59:59.0000
TC|FIMO|8.98983|-83.35362|1108.0|Fila Mora|2021-03-25T00:00:00.0000|
TC|ICC1|5.543883|-87.055099|10.0|Isla del Coco, Costa Rica,  Pacific Ocean|2015-06-18T00:00:00.0000|
TC|ICC3|5.54345|-87.05687|5.0|Isla del Coco, Costa Rica, Pacific Ocean|2015-06-18T00:00:00.0000|2018-07-20T00:00:00.0000
TC|ICR3|9.98|-83.83683|3370.0|Volcan Irazu Cartago|2013-12-10T00:00:00.0000|2018-05-24T00:00:00.0000
TC|LAES|9.762323|-83.048592|112.0|Valle La Estrella|2019-01-14T21:40:20.0000|2020-10-28T15:00:00.0000
TC|LAES|9.762323|-83.048592|112.0|Valle La Estrella|2020-10-28T15:01:00.0000|2021-04-25T23:59:59.0000
TC|LAES|9.762323|-83.048592|112.0|Valle La Estrella|2021-04-26T00:00:00.0000|
TC|LCR2|9.7415|-84.005333|1704.0|Finca La Lucha San Jose|2000-01-01T00:00:00.0000|
TC|MARA|10.0195|-85.425499|629.0|Maravilla|2000-01-01T00:00:00.0000|
TC|PIRO|8.4109|-83.319504|235.0|PIRO, Osa Puntarenas|2000-01-01T00:00:00.0000|
TC|PTJ1|8.53567|-83.302299|20.0|Peninsula de Osa Puntarenas|2000-01-01T00:00:00.0000|
TC|QUEP|9.431|-84.164001|10.0|Quepos|2015-10-01T00:00:00.0000|
TC|RAFA|9.958185|-83.811212|2575.0|San Rafael, Volcan Turrialba, Cartago|2000-01-01T00:00:00.0000|2021-08-20T00:00:00.0000
TC|RGM0|9.5902|-82.607399|17.0|GANDOCA|2000-01-01T00:00:00.0000|2021-08-11T00:00:00.0000
TC|RGM1|9.5902|-82.6074|17.0|GANDOCA|2023-04-17T00:00:00.0000|
TC|SAJE|9.34595|-83.50874|1348.0|San Jeronimo|2018-08-13T21:02:40.0000|2020-09-23T23:23:59.0000
TC|SAJE|9.34595|-83.50874|1348.0|San Jeronimo|2020-09-24T00:00:00.0000|2021-03-03T23:59:59.0000
TC|SAJE|9.34595|-83.50874|1348.0|San Jeronimo|2021-03-04T00:00:00.0000|
TC|SOCE|10.383333|-84.618446|450.0|Soltis Center|2014-11-24T00:00:00.0000|2023-09-21T00:00:00.0000
TC|TCS1|10.0421|-84.299797|629.0|Tacares, Grecia, Alajuela|2015-10-27T00:00:00.0000|
TC|TEXA|10.383|-84.618|450.0|Soltis Center|2023-09-19T00:00:00.0000|
TC|TRB2|9.91383|-84.44833|369.0|Colegio de Turrubares San Jose|2014-08-18T00:00:00.0000|
TC|TRT1|10.598402|-83.699265|63.0|Linda vista de Cariari|2014-06-09T00:00:00.0000|2020-01-29T00:00:00.0000
TC|TRT2|10.55736|-83.73526|46.0|Tortugero|2013-12-17T00:00:00.0000|
TC|UPAL|10.8972|-85.012283|62.0|Upala|2015-10-01T00:00:00.0000|
TC|VERF|9.92656|-83.19049|423.0|Veragua|2018-08-21T21:18:00.0000|2020-02-26T23:59:00.0000
TC|VERF|9.92656|-83.19049|423.0|Veragua|2020-02-27T00:00:00.0000|2021-05-03T23:59:59.0000
TC|VERF|9.92656|-83.19049|423.0|Veragua|2021-05-04T00:00:00.0000|
